NumeroCapteur,Heure,Puissance,Adresse
3,17:38:59.511244,-77,84:e0:f4:d7:08:dc
3,17:39:00.942911,-69,72:fe:63:4a:9d:cc
3,17:39:02.121362,-65,7c:2a:31:d1:ca:4f
4,17:39:02.095154,-49,7c:2a:31:d1:ca:4f
3,17:39:03.022347,-67,3e:7c:39:7e:39:8e
3,17:39:05.012691,-61,b6:22:31:47:38:f9
4,17:39:04.986123,-59,b6:22:31:47:38:f9
3,17:39:15.615056,-73,5c:61:99:58:4b:9b
3,17:39:19.646057,-75,de:82:5c:a7:c9:52
3,17:39:32.146156,-71,0a:43:44:56:28:dc
4,17:39:32.079483,-61,0a:43:44:56:28:dc
4,17:39:35.983138,-47,14:ac:60:46:7f:a9
4,17:39:37.627562,-75,b4:8c:9d:6b:0e:1b
3,17:39:38.292343,-61,da:a1:19:00:ce:49
4,17:39:38.263077,-59,da:a1:19:00:ce:49
4,17:39:39.773662,-79,28:cd:c4:0d:04:21
3,17:39:40.225469,-69,64:79:f0:62:f3:40
4,17:39:42.357556,-77,52:11:1e:81:56:01
3,17:39:44.827760,-57,00:b5:d0:ed:54:3b
4,17:39:47.563485,-69,4a:8c:0d:22:7c:a6
3,17:39:49.615573,-77,f0:65:ae:6f:d0:24
4,17:39:49.586149,-75,f0:65:ae:6f:d0:24
4,17:39:50.940930,-53,00:b5:d0:ed:54:3b
4,17:39:55.460901,-77,ee:e4:3a:16:5b:2d
4,17:39:57.207715,-73,86:3d:b6:b2:38:09
3,17:39:58.303075,-75,5c:61:99:59:85:29
4,17:39:58.273345,-67,5c:61:99:59:85:29
3,17:40:00.920760,-71,18:87:40:48:a5:f8
4,17:40:00.890900,-71,18:87:40:48:a5:f8
3,17:40:03.152496,-51,76:70:e3:a6:00:47
4,17:40:03.143038,-67,76:70:e3:a6:00:47
3,17:40:05.008232,-71,d8:54:a2:b8:df:14
3,17:40:06.705388,-67,18:87:40:48:a5:f8
3,17:40:07.929428,-63,98:80:ee:cc:4e:58
4,17:40:07.898974,-67,98:80:ee:cc:4e:58
4,17:40:10.409013,-75,a6:9e:b9:c3:a9:b5
3,17:40:11.187728,-67,26:3a:72:71:7e:16
3,17:40:14.770947,-71,1a:e4:ad:00:99:e2
4,17:40:14.739985,-71,1a:e4:ad:00:99:e2
3,17:40:15.604746,-77,5c:61:99:58:4b:9b
3,17:40:19.932639,-73,30:c9:ab:fe:2f:79
4,17:40:19.901179,-71,30:c9:ab:fe:2f:79
3,17:40:23.128406,-73,ae:68:e4:e8:f0:4d
4,17:40:23.096656,-71,ae:68:e4:e8:f0:4d
4,17:40:24.773061,-69,4a:8c:0d:22:7c:a6
3,17:40:34.128185,-73,02:2f:99:e5:c8:04
3,17:40:36.332184,-71,c6:09:17:67:6d:6d
4,17:40:42.147576,-75,02:6b:e7:22:3c:cb
3,17:40:43.165312,-71,4a:8c:0d:22:7c:a6
4,17:40:45.175097,-47,5c:3a:45:c2:e2:63
4,17:40:45.522998,-75,da:a1:19:e4:b5:b2
3,17:40:48.088898,-73,46:f0:b3:be:18:9c
3,17:40:50.578222,-73,02:1f:26:bc:2c:44
3,17:40:53.631714,-33,18:26:49:a9:cc:bb
3,17:40:55.436339,-67,b2:51:ae:0d:5b:1c
3,17:40:57.101425,-77,fa:83:4c:d0:15:7d
3,17:40:58.289009,-71,5c:61:99:59:85:29
4,17:40:59.434489,-37,9a:ed:c5:49:c2:35
3,17:41:02.518211,-75,fa:83:4c:d0:15:7d
4,17:41:03.886544,-71,1a:e4:ad:00:99:e2
3,17:41:08.493654,-67,d6:25:d3:fb:db:18
4,17:41:10.247978,-73,4a:8c:0d:22:7c:a6
3,17:41:10.285491,-75,4a:8c:0d:22:7c:a6
4,17:41:12.500806,-63,9a:05:80:24:e1:b0
3,17:41:13.953723,-67,7c:2a:31:d1:ca:4f
3,17:41:15.594070,-75,5c:61:99:58:4b:9b
4,17:41:15.555852,-75,5c:61:99:58:4b:9b
4,17:41:21.970844,-53,6e:87:3a:8e:97:bb
4,17:41:24.870835,-57,6e:87:3a:8e:97:bb
4,17:41:29.502775,-71,1a:e4:ad:00:99:e2
3,17:41:29.537642,-69,1a:e4:ad:00:99:e2
4,17:41:32.417511,-79,72:e8:e7:58:96:ca
3,17:41:33.544081,-69,9c:5a:81:1d:5d:9a
4,17:41:34.038774,-23,ec:63:d7:d0:34:e6
3,17:41:37.641524,-75,b4:8c:9d:6b:0e:1b
4,17:41:37.614148,-81,b4:8c:9d:6b:0e:1b
3,17:41:43.138874,-77,9a:05:80:24:e1:b0
4,17:41:43.116090,-77,9a:05:80:24:e1:b0
3,17:41:45.040616,-59,e2:eb:9d:46:97:87
4,17:41:45.190630,-51,5c:3a:45:c2:e2:63
3,17:41:47.910811,-73,9a:05:80:24:e1:b0
4,17:41:51.519985,-67,64:79:f0:62:f3:40
3,17:41:51.536537,-69,64:79:f0:62:f3:40
4,17:41:52.337894,-53,7c:2a:31:d1:ca:4f
4,17:41:56.871741,-67,76:70:e3:a6:00:47
4,17:41:58.280699,-73,5c:61:99:59:85:29
3,17:42:00.548466,-69,72:1f:a2:e1:c4:6c
4,17:42:00.537917,-73,72:1f:a2:e1:c4:6c
3,17:42:01.331427,-73,32:04:87:21:82:48
4,17:42:02.949566,-73,92:e2:8a:e8:0e:e4
4,17:42:04.317757,-75,72:e8:e7:58:96:ca
3,17:42:06.488862,-79,54:35:30:51:9b:58
4,17:42:06.949716,-59,c2:dd:4e:6a:bd:f9
3,17:42:06.956627,-63,c2:dd:4e:6a:bd:f9
4,17:42:07.916784,-75,72:e8:e7:58:96:ca
3,17:42:08.363149,-77,3a:16:04:89:4e:72
3,17:42:10.057099,-53,6e:87:3a:8e:97:bb
4,17:42:10.168111,-57,6e:87:3a:8e:97:bb
3,17:42:15.619403,-75,5c:61:99:58:4b:9b
3,17:42:20.867913,-75,ca:67:63:57:d5:fc
